,Just the Pizza,,,,,,,,,,Overall Experience,,,,,,,,
Restaurant,Dough,Crust,Sauce,Cheese,Saltiness,Sweetness,Texture,Balance,Just The Pizza - Total,Just The Pizza - Adjusted Score out of 100,Price,Wait,Pizza with Toppings,Customer Service,Consistency,Overall Experience - Total,Overall Expereince - Adjusted Score out of 100,Grand Total,Adjusted score out of 100
Razza,10,9,10,10,10,10,10,10,79,98.75,8,10,10,10,10,48,96,127,97.69
